Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Genre_Group
Night at the Museum,250863268,574480841,153389976,110000000,Dec 22 2006,PG,108,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,43,6.4,67133,Comedy
The Musketeer,27053815,27053815,NA,40000000,Sep 07 2001,PG-13,104,Universal,Based on Book/Short Story,Adventure,Historical Fiction,Peter Hyams,10,4.4,7812,Adventure
Music and Lyrics,50572589,145556146,21145518,40000000,Feb 14 2007,PG-13,96,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,63,6.6,32307,Romantic Comedy
The Merchant of Venice,3765585,18765585,NA,30000000,Dec 29 2004,R,NA,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,Michael Radford,NA,7.1,14021,Drama
Miami Vice,63478838,163818556,37652030,135000000,Jul 28 2006,R,132,Universal,Based on TV,Action,Contemporary Fiction,Michael Mann,47,6,51921,Action
Monsters vs. Aliens,198351526,381687380,83851943,175000000,Mar 27 2009,PG,95,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Fantasy,Rob Letterman,72,6.8,26582,Adventure
A Mighty Wind,17583468,18552708,NA,6000000,Apr 16 2003,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,88,7.2,13602,Comedy
The Mexican,66808615,147808615,NA,40000000,Mar 02 2001,R,124,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Gore Verbinski,55,5.9,37696,Action
My Best Friend's Wedding,126813153,287200000,NA,46000000,Jun 20 1997,PG-13,105,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,P.J. Hogan,72,6.2,37287,Comedy
"Dude, Where's My Car?",46729374,73180297,NA,14000000,Dec 15 2000,PG-13,83,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,19,NA,NA,Comedy
My Dog Skip,34099640,35512760,NA,7000000,Jan 12 2000,PG,95,Warner Bros.,Original Screenplay,Drama,Kids Fiction,Jay Russell,72,6.9,9029,Drama
My Date With Drew,181041,181041,NA,1100,Aug 05 2005,PG,NA,DEJ Productions,Based on Real Life Events,Documentary,Factual,NA,NA,6.5,2961,Other
Me and You and Everyone We Know,3885134,5409058,NA,2000000,Jun 17 2005,R,NA,IFC Films,Original Screenplay,Drama,Contemporary Fiction,NA,82,7.4,17135,Drama
My Favorite Martian,36850101,36850101,NA,60000000,Feb 12 1999,PG,93,Walt Disney Pictures,Based on TV,Comedy,Science Fiction,Donald Petrie,13,4.5,4918,Comedy
My Fellow Americans,22331846,22331846,NA,21500000,Dec 20 1996,PG-13,102,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,50,6.3,6366,Comedy
My Sister's Keeper,49200230,89053995,21467223,27500000,Jun 26 2009,PG-13,108,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,48,7.4,13839,Drama
My Summer of Love,1000915,3800915,NA,1700000,Jun 17 2005,R,NA,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,7,7242,Drama
The Mystery Men,29762011,29762011,NA,68000000,Aug 06 1999,PG,120,Universal,Based on Comic/Graphic Novel,Comedy,Super Hero,NA,NA,NA,NA,Comedy
Mystic River,90135191,156835191,NA,30000000,Oct 08 2003,R,137,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,87,8,119484,Drama
Nacho Libre,80197993,99197993,46582125,32000000,Jun 16 2006,PG,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jared Hess,40,5.7,31455,Comedy
Narc,10465659,10465659,NA,7500000,Dec 20 2002,R,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joe Carnahan,83,7.3,19248,Thriller/Suspense
The Chronicles of Narnia: Prince Caspian,141621490,419490286,77773230,225000000,May 16 2008,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,Andrew Adamson,67,6.9,46608,Adventure
National Treasure,173005002,347405002,NA,100000000,Nov 19 2004,PG,131,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,Jon Turteltaub,44,6.9,83989,Adventure
The Nativity Story,37629831,46432264,26142500,35000000,Dec 01 2006,PG,102,New Line,Based on Book/Short Story,Drama,Dramatization,Catherine Hardwicke,37,6.6,4701,Drama
Never Back Down,24850922,39319801,18692319,21000000,Mar 14 2008,PG-13,NA,Summit Entertainment,Original Screenplay,Action,Contemporary Fiction,NA,23,6.2,21708,Action
Into the Blue,18782227,41982227,NA,50000000,Sep 30 2005,PG-13,109,Sony Pictures,Original Screenplay,Adventure,Contemporary Fiction,NA,21,5.7,22859,Adventure
Shinjuku Incident,0,0,NA,25000000,Feb 05 2010,R,NA,Sony Pictures Classics,NA,NA,NA,NA,NA,NA,NA,Other
No Country for Old Men,74273505,162103209,45877844,25000000,Nov 09 2007,R,NA,Miramax,Based on Book/Short Story,Action,Historical Fiction,Joel Coen,95,8.3,197898,Action
The Incredibles,261441092,632882184,NA,92000000,Nov 05 2004,PG,121,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,Brad Bird,97,8.1,159123,Adventure
The Negotiator,44705766,49105766,NA,50000000,Jul 29 1998,R,138,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,81,7.2,46511,Action
A Nightmare on Elm Street,63075011,105175011,NA,35000000,Apr 30 2010,R,NA,Warner Bros.,NA,Horror,NA,NA,13,5.3,12554,Horror
Not Easily Broken,10572742,10572742,13828911,5000000,Jan 09 2009,PG-13,NA,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Bill Duke,35,5.2,1010,Drama
The New Guy,28972187,28972187,NA,13000000,May 10 2002,PG-13,88,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,7,5.4,14268,Comedy
The Newton Boys,10341093,10341093,NA,27000000,Mar 27 1998,PG-13,NA,20th Century Fox,Based on Real Life Events,Drama,Dramatization,Richard Linklater,61,5.7,4443,Drama
The Next Best Thing,14983572,24355762,NA,25000000,Mar 03 2000,PG-13,NA,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,John Schlesinger,19,4.4,6104,Drama
Northfork,1420578,1445140,NA,1900000,Jul 11 2003,PG-13,NA,Paramount Vantage,Original Screenplay,Drama,Historical Fiction,Michael Polish,57,6.3,3776,Drama
In Good Company,45489752,63489752,NA,26000000,Dec 29 2004,PG-13,109,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,84,6.8,25695,Comedy
Notting Hill,116089678,363728226,NA,42000000,May 28 1999,PG-13,123,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,82,6.9,66362,Romantic Comedy
Little Nicky,39442871,58270391,NA,80000000,Nov 10 2000,PG-13,90,New Line,Original Screenplay,Comedy,Fantasy,NA,21,5,35082,Comedy
Nicholas Nickleby,1562800,1562800,NA,10000000,Dec 27 2002,PG,NA,United Artists,Based on Book/Short Story,Drama,Historical Fiction,NA,77,7.3,4968,Drama
Nim's Island,48006762,94081683,18322434,37000000,Apr 04 2008,PG,NA,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,NA,50,6,10391,Adventure
Ninja Assassin,38122883,57422883,14085314,50000000,Nov 25 2009,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,James McTeigue,25,6.3,20078,Action
The Ninth Gate,18653746,58394308,NA,38000000,Mar 10 2000,R,133,Artisan,Original Screenplay,Thriller/Suspense,Fantasy,Roman Polanski,NA,6.6,50510,Thriller/Suspense
Never Let Me Go,186830,186830,NA,15000000,Sep 15 2010,NA,NA,Fox Searchlight,Based on Book/Short Story,Drama,Science Fiction,NA,62,7.3,252,Drama
Lucky Numbers,10014234,10014234,NA,65000000,Oct 27 2000,R,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Nora Ephron,23,4.9,5461,Comedy
Night at the Museum: Battle of the Smithsonian,177243721,413054631,48547729,150000000,May 22 2009,PG,104,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,NA,5.9,25631,Comedy
Nick and Norah's Infinite Playlist,31487293,31487293,10327750,10000000,Oct 03 2008,PG-13,90,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Sollett,73,6.8,24021,Drama
Notorious,36842118,44473591,21503929,19000000,Jan 16 2009,R,NA,Fox Searchlight,Based on Real Life Events,Drama,Dramatization,NA,50,6.3,9811,Drama
No End In Sight,1433319,1433319,NA,2000000,Jul 27 2007,Not Rated,NA,Magnolia Pictures,Based on Real Life Events,Documentary,Factual,NA,94,8.3,4086,Other
Nomad,79123,79123,NA,40000000,Mar 16 2007,R,NA,Weinstein Co.,Original Screenplay,Drama,Historical Fiction,NA,NA,5.5,1224,Drama
No Man's Land,1067481,2684207,NA,1000000,Dec 07 2001,R,NA,MGM,Original Screenplay,Drama,Historical Fiction,NA,93,8,19600,Drama
No Reservations,43107979,92107979,27029295,28000000,Jul 27 2007,PG,103,Warner Bros.,Remake,Romantic Comedy,Contemporary Fiction,NA,40,6.3,16952,Romantic Comedy
The Notebook,81001787,102276787,NA,30000000,Jun 25 2004,PG-13,123,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,52,8,95850,Drama
November,191862,191862,NA,250000,Jul 22 2005,R,NA,Sony Pictures Classics,NA,Drama,NA,NA,NA,5.5,2189,Drama
Novocaine,2025238,2522928,NA,6000000,Nov 16 2001,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,37,5.8,6233,Comedy
Nowhere in Africa,6173485,6173485,NA,6500000,Mar 07 2003,R,NA,Zeitgeist,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,NA,NA,Drama
Napoleon Dynamite,44540956,46140956,NA,400000,Jun 11 2004,PG,82,Fox Searchlight,Based on Short Film,Comedy,Contemporary Fiction,Jared Hess,70,6.9,76557,Comedy
North Country,18324242,23624242,14349786,30000000,Oct 21 2005,R,NA,Warner Bros.,Based on Real Life Events,Drama,Dramatization,NA,69,7.2,16497,Drama
The Namesake,13610521,20180109,9364773,8500000,Mar 09 2007,PG-13,122,Fox Searchlight,Based on Book/Short Story,Drama,Contemporary Fiction,Mira Nair,NA,7.5,9700,Drama
Inside Deep Throat,691880,691880,NA,2000000,Feb 11 2005,NC-17,NA,Universal,Based on Real Life Events,Documentary,Factual,NA,NA,6.9,3264,Other
Intolerable Cruelty,35327628,121327628,NA,60000000,Oct 10 2003,PG-13,100,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Joel Coen,75,6.4,36323,Romantic Comedy
The Interpreter,72708161,163954076,NA,90000000,Apr 22 2005,PG-13,118,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,58,6.5,38227,Thriller/Suspense
The Night Listener,7836393,10547755,8927227,4000000,Aug 04 2006,R,NA,Miramax,Based on Real Life Events,Drama,Dramatization,NA,40,5.9,8437,Drama
The International,25450527,53850527,7276738,50000000,Feb 13 2009,R,118,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,59,NA,NA,Thriller/Suspense
The Number 23,35193167,76593167,27576238,32000000,Feb 23 2007,R,95,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,8,6.2,59174,Thriller/Suspense
Nurse Betty,25170054,27732366,NA,24000000,Sep 08 2000,R,110,USA Films,Original Screenplay,Black Comedy,Contemporary Fiction,Neil LaBute,84,6.4,20354,Other
Jimmy Neutron: Boy Genius,80936232,102992536,NA,25000000,Dec 21 2001,G,83,Paramount Pictures,Based on TV,Adventure,Kids Fiction,NA,NA,5.9,5379,Adventure
Nutty Professor II: The Klumps,123307945,161600000,NA,84000000,Jul 28 2000,PG-13,107,Universal,Remake,Comedy,Contemporary Fiction,Peter Segal,NA,4.3,17075,Comedy
Never Again,307631,307631,NA,500000,Jul 12 2002,R,NA,NA,NA,Romantic Comedy,NA,NA,NA,5.8,511,Romantic Comedy
Finding Neverland,51676606,118676606,NA,25000000,Nov 12 2004,PG,106,Miramax,Based on Play,Drama,Historical Fiction,Marc Forster,82,7.9,86828,Drama
Into the Wild,18354356,53813837,15272435,20000000,Sep 21 2007,R,147,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,82,8.2,99464,Drama
The New World,12712093,26184400,8200002,30000000,Dec 25 2005,PG-13,NA,New Line,Original Screenplay,Adventure,Historical Fiction,Terrence Malick,60,6.9,33248,Adventure
Nochnoy dozor,1502188,33923550,7476421,4200000,Feb 17 2006,Not Rated,NA,Fox Searchlight,Based on Book/Short Story,Action,Fantasy,Timur Bekmambetov,NA,6.5,25136,Action
New York Minute,14018364,21215882,NA,40000000,May 07 2004,PG,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Dennie Gordon,11,NA,NA,Comedy
The Object of my Affection,29145924,29145924,NA,15000000,Apr 17 1998,R,112,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,NA,50,5.9,8492,Romantic Comedy
Orange County,41059716,43308707,NA,18000000,Jan 11 2002,PG-13,82,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,47,6.1,23742,Comedy
Ocean's Eleven,183417150,450728529,NA,110000000,Dec 07 2001,PG-13,116,Warner Bros.,Remake,Comedy,Contemporary Fiction,Steven Soderbergh,81,7.6,139034,Comedy
Ocean's Twelve,125531634,363531634,NA,85000000,Dec 10 2004,PG-13,125,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,55,6,89861,Adventure
Ocean's Thirteen,117144465,311744465,48258805,85000000,Jun 08 2007,PG-13,122,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,70,6.9,76884,Adventure
Oceans,19422319,72965951,NA,80000000,Apr 22 2010,G,NA,Walt Disney Pictures,Based on Real Life Events,Documentary,Factual,NA,NA,7.6,1429,Other
Office Space,10827813,12827813,NA,10000000,Feb 19 1999,R,NA,Miramax,Based on Short Film,Black Comedy,Contemporary Fiction,Mike Judge,80,7.9,80972,Other
White Oleander,16357770,21657770,NA,16000000,Oct 11 2002,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,NA,69,7,13755,Drama
The Omen,54607383,119607383,10468933,25000000,Jun 06 2006,R,NA,20th Century Fox,Remake,Horror,Contemporary Fiction,NA,26,5.4,24523,Horror
Any Given Sunday,75530832,100230832,NA,60000000,Dec 22 1999,R,162,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Oliver Stone,49,6.6,48477,Drama
Once,9445857,18997174,NA,150000,Jun 16 2007,R,NA,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,NA,97,8,34348,Drama
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,144601,206351,NA,1000000,Jul 07 2006,PG-13,NA,Miramax,Based on Real Life Events,Documentary,Factual,Matt Dillon,82,7.1,643,Other
One Hour Photo,31597131,52223306,NA,12000000,Aug 21 2002,R,96,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,NA,81,7,42134,Drama
One True Thing,23337196,26708196,NA,30000000,Sep 18 1998,R,127,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Carl Franklin,88,6.9,5591,Drama
Ong-Bak 2,102458,7583050,1238181,15000000,Sep 25 2009,R,97,Magnolia Pictures,Original Screenplay,Action,Contemporary Fiction,NA,NA,4.7,887,Action
On the Line,4356743,4356743,NA,10000000,Oct 26 2001,PG,NA,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,18,3.4,2617,Romantic Comedy
One Night with the King,13395961,13395961,20554010,20000000,Oct 13 2006,PG,124,Rocky Mountain Pictures,Based on Book/Short Story,Drama,Historical Fiction,Michael O. Sajbel,16,6,2993,Drama
Opal Dreams,14443,14443,NA,9000000,Nov 22 2006,PG,NA,Strand,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,6.5,468,Drama
Open Season,85105259,189901703,96622855,85000000,Sep 29 2006,PG,87,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,NA,47,6,52,Adventure
Open Water,30500882,52100882,NA,500000,Aug 06 2004,R,79,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,5.9,23667,Thriller/Suspense
Open Range,58328680,68293719,NA,26000000,Aug 15 2003,R,139,Walt Disney Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,79,7.5,26438,Other
The Order,7659747,11559747,NA,35000000,Sep 05 2003,R,NA,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,4.9,9119,Thriller/Suspense
Orgazmo,582024,627287,NA,1000000,Oct 23 1998,NC-17,NA,October Films,Original Screenplay,Comedy,Contemporary Fiction,Trey Parker,NA,6,15592,Comedy
Original Sin,16521410,16521410,NA,26000000,Aug 03 2001,R,NA,MGM,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,12,5.6,15939,Thriller/Suspense
Osama,1127331,1971479,NA,500000,Jan 30 2004,PG-13,NA,MGM,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.4,4737,Drama
Oscar and Lucinda,1612957,1612957,NA,12500000,Dec 31 1997,R,NA,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,NA,65,6.7,3782,Drama
Old School,75155000,86325829,NA,24000000,Feb 21 2003,R,91,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,60,7,60477,Comedy
Osmosis Jones,13596911,13596911,NA,70000000,Aug 10 2001,PG,NA,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Bobby Farrelly,54,6,10959,Comedy
American Outlaws,13264986,13264986,NA,35000000,Aug 17 2001,PG-13,NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Les Mayfield,13,5.6,7396,Other
Oliver Twist,2070920,26670920,NA,65000000,Sep 23 2005,PG-13,NA,Sony/TriStar,Based on Book/Short Story,Drama,Historical Fiction,Roman Polanski,59,7,10748,Drama
Out Cold,13906394,13906394,NA,11000000,Nov 21 2001,PG-13,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,8,5.8,7153,Comedy
Outlander,166003,1250617,1757108,50000000,Jan 23 2009,R,115,Third Rail,Original Screenplay,Adventure,Science Fiction,NA,NA,6.4,18299,Adventure
Out of Sight,37562568,37562568,NA,48000000,Jun 26 1998,R,129,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Soderbergh,93,7.1,38263,Drama
Out of Time,41083108,55489826,NA,50000000,Oct 03 2003,PG-13,105,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Carl Franklin,65,4.9,151,Thriller/Suspense
The Out-of-Towners,28544120,28544120,NA,40000000,Apr 02 1999,PG-13,92,Paramount Pictures,Remake,Comedy,Contemporary Fiction,NA,24,4.9,6338,Comedy
Owning Mahowny,1011054,1011054,NA,10000000,May 02 2003,R,NA,Sony Pictures Classics,Based on Book/Short Story,Drama,Dramatization,NA,78,7,5789,Drama
The Pacifier,113006880,198006880,NA,56000000,Mar 04 2005,PG,97,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,20,5.3,22590,Comedy
El Laberinto del Fauno,37634615,83234615,40776265,16000000,Dec 29 2006,R,NA,Picturehouse,Original Screenplay,Horror,Historical Fiction,Guillermo Del Toro,NA,8.4,153762,Horror
The Passion of the Christ,370782930,611899420,618454,25000000,Feb 25 2004,R,127,Newmarket Films,Based on Book/Short Story,Drama,Dramatization,Mel Gibson,50,7.1,87326,Drama
Patch Adams,135041968,202200000,NA,50000000,Dec 25 1998,PG-13,110,Universal,Based on Real Life Events,Comedy,Contemporary Fiction,Tom Shadyac,24,6.3,31481,Comedy
Payback,81526121,161626121,NA,50000000,Feb 05 1999,R,110,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,NA,51,5.8,304,Action
Paycheck,53789313,89350576,NA,60000000,Dec 25 2003,PG-13,119,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Science Fiction,John Woo,28,6.1,35660,Thriller/Suspense
Max Payne,40687294,85761789,25346362,35000000,Oct 17 2008,PG-13,NA,20th Century Fox,Based on Game,Action,Contemporary Fiction,NA,17,5.4,47541,Action
The Princess Diaries 2: Royal Engagement,95149435,122071435,NA,45000000,Aug 11 2004,G,115,Walt Disney Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Garry Marshall,NA,5.3,12439,Romantic Comedy
The Princess Diaries,108244774,165334774,NA,30000000,Aug 03 2001,G,115,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Garry Marshall,46,5.9,23486,Comedy
The Peacemaker,41263140,62967368,NA,50000000,Sep 26 1997,R,123,Dreamworks SKG,Based on Magazine Article,Action,Contemporary Fiction,Mimi Leder,45,5.8,21524,Action
Peter Pan,48417850,95255485,NA,100000000,Dec 25 2003,PG,113,Universal,Based on Book/Short Story,Adventure,Fantasy,P.J. Hogan,76,7.1,16894,Adventure
People I Know,121972,121972,NA,20000000,Apr 25 2003,R,NA,Miramax,NA,NA,NA,NA,NA,5.5,6305,Other
Perrier's Bounty,828,828,NA,6600000,May 21 2010,R,NA,NA,NA,NA,NA,NA,NA,6.2,808,Other
A Perfect Getaway,15515460,20613298,3994342,14000000,Aug 07 2009,R,NA,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Twohy,60,6.5,16324,Thriller/Suspense
Phat Girlz,7061128,7271305,18090044,3000000,Apr 07 2006,PG-13,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,23,2.2,6343,Romantic Comedy
Poolhall Junkies,563711,563711,NA,4000000,Feb 28 2003,R,NA,Gold Circle Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.8,5233,Drama
The Phantom of the Opera,51225796,158225796,NA,55000000,Dec 22 2004,PG-13,143,Warner Bros.,Based on Musical/Opera,Musical,Historical Fiction,Joel Schumacher,33,7.2,42832,Musical
Phone Booth,46566212,97837138,NA,11000000,Apr 04 2003,R,81,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,71,7.2,68874,Thriller/Suspense
The Pianist,32519322,120000000,NA,35000000,Dec 27 2002,R,149,Focus Features,Based on Real Life Events,Drama,Dramatization,Roman Polanski,NA,8.5,134516,Drama
The Pink Panther,82226474,158926474,23182695,80000000,Feb 10 2006,PG,NA,Sony Pictures,NA,Comedy,Historical Fiction,Shawn Levy,22,5.1,28456,Comedy
Pirates of the Caribbean: The Curse of the Black Pearl,305411224,655011224,NA,125000000,Jul 09 2003,PG-13,143,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,NA,8,232719,Adventure
Pirates of the Caribbean: Dead Man's Chest,423315812,1065659812,320830925,225000000,Jul 07 2006,PG-13,151,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,54,7.3,150446,Adventure
Pirates of the Caribbean: At World's End,309420425,960996492,296060575,300000000,May 25 2007,PG-13,167,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45,7,133241,Adventure
The Chronicles of Riddick,57712751,107212751,NA,120000000,Jun 11 2004,PG-13,119,Universal,Original Screenplay,Adventure,Science Fiction,David Twohy,29,6.4,49383,Adventure
Pitch Black,39235088,53182088,NA,23000000,Feb 18 2000,R,110,USA Films,Original Screenplay,Horror,Science Fiction,David Twohy,55,7,55217,Horror
Play it to the Bone,8427204,8427204,NA,24000000,Dec 24 1999,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ron Shelton,NA,5.1,6039,Comedy
Screwed,6982680,6982680,NA,12000000,May 12 2000,PG-13,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,NA,13,5.1,4411,Comedy
Percy Jackson & the Olympians: The Lightning Thief,88761720,226435277,30795712,95000000,Feb 12 2010,PG,NA,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,50,5.8,20451,Adventure
"Paris, je t'aime",4857374,4857374,NA,13000000,May 04 2007,R,NA,First Look,Original Screenplay,Drama,Contemporary Fiction,Gurinder Chadha,NA,6.6,175,Drama
Princess Kaiulani,883454,883454,NA,9000000,May 14 2010,PG,NA,Roadside Attractions,Based on Real Life Events,Drama,Dramatization,NA,NA,5.3,224,Drama
Lake Placid,31770413,31770413,NA,27000000,Jul 16 1999,R,82,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Steve Miner,38,5.3,19382,Thriller/Suspense
The Back-up Plan,37490007,77090007,7571152,35000000,Apr 23 2010,PG-13,106,CBS Films,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,20,4.4,6981,Romantic Comedy
The Pledge,19719930,29406132,NA,45000000,Jan 19 2001,R,NA,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,77,6.9,22609,Drama
Proof of Life,32598931,62761005,NA,65000000,Dec 08 2000,R,135,Warner Bros.,Based on Magazine Article,Action,Contemporary Fiction,Taylor Hackford,39,6.1,23099,Action
Pollock,8596914,10557291,NA,6000000,Dec 15 2000,R,NA,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,Ed Harris,82,7.1,9669,Drama
Planet of the Apes,180011740,362211740,NA,100000000,Jul 27 2001,PG-13,120,20th Century Fox,Remake,Adventure,Science Fiction,Tim Burton,44,5.5,72763,Adventure
Please Give,4028339,4028339,NA,3000000,Apr 30 2010,R,NA,Sony Pictures Classics,NA,NA,NA,NA,88,7.4,1023,Other
Planet 51,42194060,108005745,15341764,50000000,Nov 20 2009,PG,NA,Sony Pictures,Original Screenplay,Adventure,Science Fiction,NA,22,6.1,9645,Adventure
The Adventures of Pluto Nash,4411102,7094995,NA,100000000,Aug 16 2002,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Science Fiction,NA,6,3.7,9207,Comedy
The Players Club,23047939,23047939,NA,5000000,Apr 08 1998,R,104,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,27,4.8,2072,Drama
Paranormal Activity,107918810,193770453,14051496,15000,Sep 25 2009,R,85,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,Oren Peli,82,6.7,53455,Horror
The Pineapple Express,87341380,100941380,45217362,26000000,Aug 06 2008,R,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,David Gordon Green,NA,NA,NA,Comedy
Pinocchio,3681811,31681811,NA,45000000,Dec 25 2002,G,NA,Miramax,Based on Book/Short Story,Adventure,Fantasy,Roberto Benigni,NA,3.5,3215,Adventure
Pandaemonium,0,0,NA,15000000,Jun 29 2001,PG-13,NA,NA,NA,NA,NA,NA,NA,6.5,496,Other
Pandorum,10330853,17033431,4018696,40000000,Sep 25 2009,R,NA,Overture Films,Original Screenplay,Horror,Science Fiction,NA,28,6.9,29428,Horror
The Punisher,33664370,54664370,NA,33000000,Apr 16 2004,R,124,Lionsgate,Based on Comic/Graphic Novel,Action,Super Hero,NA,30,6.4,50482,Action
Pokemon 2000,43746923,133946923,NA,30000000,Jul 21 2000,G,99,Warner Bros.,Based on TV,Adventure,Kids Fiction,NA,NA,NA,NA,Adventure
Pokemon 3: The Movie,17052128,68452128,NA,3000000,Apr 06 2001,G,NA,Warner Bros.,Based on TV,Adventure,Kids Fiction,NA,23,3.5,2577,Adventure
